DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2020
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;1;-;6
"Semana 01";56;554;316;42;99;2;44;32;15;86;100;107;172;46;8;400;932;479;184;3808;2884;27;8;760;663;1007;273;13104
"Semana 02";61;640;387;46;117;1;74;52;19;131;103;109;209;38;12;572;1409;523;223;5792;4682;28;14;1349;1065;1236;414;19306
"Semana 03";90;627;315;39;161;1;64;129;23;180;161;96;225;48;12;632;1834;640;242;7963;6632;21;14;2186;1331;1431;636;25733
"Semana 04";119;389;232;45;190;-;74;130;35;211;170;131;242;37;10;775;2114;663;203;10604;9821;35;10;3221;1651;1742;795;33649
"Semana 05";121;327;231;80;208;3;82;162;41;264;219;153;252;31;5;1029;2346;597;214;12060;11301;27;17;3327;1959;1746;761;37563
"Semana 06";183;270;206;79;233;1;98;166;49;460;234;164;256;44;9;1245;2920;597;230;15587;16280;47;28;3610;2021;2234;1096;48347
"Semana 07";151;258;189;46;255;2;102;278;55;553;197;160;303;47;8;1501;3251;669;249;16258;21111;89;51;3894;1876;2279;1258;55090
"Semana 08";143;196;157;31;167;1;101;223;42;632;171;161;268;48;5;1633;3213;651;289;12932;18483;117;118;3534;1744;2132;1732;48924
"Semana 09";156;158;170;33;166;2;95;167;61;820;189;188;332;49;18;2230;3524;483;240;13652;20216;153;166;3714;1549;2343;2018;52892
"Semana 10";187;135;252;26;205;-;128;177;82;893;243;150;392;42;21;2767;4345;540;227;14267;22771;283;186;3598;1774;3121;2390;59202
"Semana 11";228;133;268;14;208;3;130;132;108;1060;257;162;406;45;21;2749;4665;623;244;12006;20777;344;191;3268;1766;2959;2530;55297
"Semana 12";176;69;186;1;129;1;76;71;70;658;202;118;272;22;10;1986;3474;367;150;8557;16595;329;171;2590;1361;2058;2150;41849
"Semana 13";174;52;107;4;107;1;64;60;32;532;75;58;202;24;4;1915;3290;344;134;8683;15480;536;326;2232;1053;1891;2096;39476
