DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2019
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;6;-;1;1;-;-;-;-;-;-;-;10
"Semana 01";10;389;25;5;75;2;394;37;33;55;120;48;109;28;2;402;1873;548;291;2462;48;6;8;415;136;1740;153;9414
"Semana 02";7;359;57;9;110;3;483;44;33;42;128;79;136;65;7;481;2611;650;308;3299;84;6;12;475;186;1990;136;11800
"Semana 03";10;388;57;4;142;3;595;80;48;78;133;80;146;100;5;595;3211;671;325;4929;115;1;10;698;173;1896;170;14663
"Semana 04";8;401;36;11;165;1;598;85;60;73;127;112;171;98;5;746;4711;812;347;7108;159;6;4;923;224;2227;255;19473
"Semana 05";7;282;50;10;177;11;752;48;45;119;109;100;313;101;2;887;5875;851;334;9107;201;9;4;1338;231;2585;416;23964
"Semana 06";10;351;50;3;210;1;864;72;69;137;110;104;389;140;4;998;6727;902;276;11478;305;14;5;1538;220;2917;505;28399
"Semana 07";13;324;59;9;241;4;656;135;53;193;184;167;477;121;8;1347;8184;1056;269;12468;413;9;5;1816;233;3206;535;32185
"Semana 08";12;299;58;8;190;8;694;120;90;220;187;199;425;157;5;1252;9217;988;290;13167;390;9;8;2309;242;3311;712;34567
"Semana 09";16;187;33;6;141;5;602;134;62;182;204;168;329;150;5;1138;10211;957;329;12206;468;23;9;3062;191;2984;741;34543
"Semana 10";4;177;39;17;173;8;518;147;99;245;219;241;423;206;12;1165;11708;1228;477;12834;482;35;25;3475;191;3280;772;38200
"Semana 11";18;204;31;8;212;12;666;170;150;297;354;296;531;191;19;1216;15998;1498;646;15565;873;66;23;4251;285;3977;1004;48561
"Semana 12";18;213;41;21;193;9;676;200;202;324;360;312;628;217;11;1500;20586;1867;1008;17862;1256;82;37;4094;278;4762;1412;58169
"Semana 13";9;183;27;12;177;6;628;191;266;448;434;311;724;190;15;1553;23849;2139;1160;20635;1301;109;43;4154;319;4802;1464;65149
"Semana 14";21;144;30;16;167;8;648;255;317;703;724;445;834;288;20;1777;28493;2161;1568;23503;1617;130;61;3490;372;5358;1524;74674
"Semana 15";22;120;24;15;171;5;599;256;304;636;995;612;982;380;36;1715;30781;2032;1596;26886;1872;118;72;4460;328;5355;1501;81873
"Semana 16";25;103;40;10;175;8;524;228;280;586;1162;589;1092;384;32;1978;32601;2042;1897;27375;2333;157;119;3689;351;5138;1399;84317
"Semana 17";15;95;33;8;146;3;521;263;413;595;1191;774;1408;571;41;2354;40290;2435;2035;28959;2562;155;175;3174;413;5712;1938;96279
"Semana 18";18;97;33;9;224;5;506;223;494;703;1525;919;1764;782;89;2977;40109;2666;2341;28749;3051;148;171;3328;395;5777;1969;99072
"Semana 19";12;73;31;13;134;5;428;273;521;738;1432;908;1838;906;105;3261;40530;3228;2785;31095;3414;164;138;3243;437;6090;1987;103789
"Semana 20";16;74;25;20;160;4;383;257;535;755;1508;962;2163;1025;156;3556;35794;2908;2268;30017;3284;175;187;2607;501;6373;2638;98351
"Semana 21";11;54;22;25;136;3;349;292;489;788;1688;869;2192;1204;172;3501;30056;2993;2030;22981;2391;146;107;1765;476;5454;3084;83278
"Semana 22";11;46;30;11;125;2;267;250;439;711;1735;991;1988;1238;170;3431;23194;3791;1602;16170;1819;109;67;1515;401;4703;3438;68254
"Semana 23";22;32;29;11;86;2;155;227;461;653;1635;858;1614;1205;186;3039;15814;3322;1230;12487;1443;83;44;1283;314;3969;2952;53156
"Semana 24";24;44;24;24;99;4;123;178;324;709;1440;747;1344;1111;214;2475;10054;2608;994;9539;1234;76;47;1180;307;3311;2291;40525
"Semana 25";27;36;15;13;74;5;86;150;289;606;1358;548;966;998;259;1838;6158;2384;838;7451;1039;57;51;1043;226;2239;1356;30110
"Semana 26";16;35;16;13;60;2;68;153;259;526;1161;614;1036;953;353;1759;4710;2481;670;6193;942;62;43;736;205;1972;912;25950
"Semana 27";29;32;8;12;53;3;47;116;282;547;1215;585;1029;860;369;1898;3183;2338;657;3622;559;26;24;437;176;1503;654;20264
"Semana 28";31;38;19;6;44;4;31;95;222;509;1190;593;958;1033;375;1864;1685;1708;388;2444;397;21;6;347;122;1201;332;15663
"Semana 29";25;28;10;14;44;-;20;85;203;400;1089;585;812;973;331;1618;1034;1187;265;1700;230;16;9;271;103;1064;249;12365
"Semana 30";41;29;19;19;48;3;21;50;171;369;1015;448;615;799;455;1419;753;1024;201;1523;226;17;6;218;77;804;193;10563
"Semana 31";33;58;8;15;47;1;18;62;115;406;917;446;634;577;389;1315;572;932;188;1188;194;7;8;176;85;717;173;9281
"Semana 32";16;38;11;22;50;2;29;77;90;357;1012;481;669;480;286;1174;432;729;168;898;149;8;3;115;57;616;129;8098
"Semana 33";7;20;10;19;50;5;17;57;65;296;731;412;708;492;248;992;360;590;149;708;123;5;3;137;71;539;123;6937
"Semana 34";9;35;14;10;49;3;19;46;69;260;566;331;810;403;263;896;347;526;94;601;111;9;3;125;76;550;98;6323
"Semana 35";7;50;14;12;67;2;18;69;69;268;504;411;650;378;164;852;290;444;107;486;109;2;7;106;65;496;78;5725
"Semana 36";5;32;12;40;39;2;17;41;43;232;493;324;659;333;179;880;334;365;131;447;94;-;5;68;57;617;103;5552
"Semana 37";4;46;21;40;57;1;15;44;40;186;385;308;686;284;179;775;343;479;107;511;99;4;4;92;51;561;108;5430
"Semana 38";10;36;24;44;71;2;11;50;25;169;374;272;608;274;146;729;321;399;93;550;117;2;7;81;56;620;107;5198
"Semana 39";8;25;51;43;69;3;7;27;25;117;307;210;539;231;106;636;263;260;68;487;123;3;4;87;49;629;138;4515
"Semana 40";10;72;72;51;51;3;17;31;24;114;250;219;622;204;102;553;268;304;103;516;129;4;5;106;57;697;133;4717
"Semana 41";10;116;93;63;77;6;18;36;26;78;265;157;536;176;94;586;260;324;88;594;162;7;2;89;51;545;138;4597
"Semana 42";18;142;115;66;58;4;29;29;24;74;252;108;462;162;73;579;282;283;102;570;216;1;5;115;61;617;117;4564
"Semana 43";20;229;152;54;51;-;42;41;21;75;193;112;425;90;62;574;281;270;96;598;245;3;4;132;84;586;119;4559
"Semana 44";17;266;136;72;54;4;37;40;21;95;130;134;370;84;79;527;264;289;93;750;290;2;3;140;97;666;154;4814
"Semana 45";26;418;190;112;67;4;44;23;22;98;152;95;343;53;55;533;328;333;117;845;457;5;4;195;115;729;104;5467
"Semana 46";29;516;215;110;72;-;53;40;24;84;125;120;354;55;47;502;290;285;100;892;526;5;5;199;137;608;146;5539
"Semana 47";32;581;288;100;72;2;60;20;19;86;121;101;304;57;30;490;388;246;100;1102;793;10;3;244;222;701;134;6306
"Semana 48";39;576;300;96;50;2;71;22;29;97;148;81;272;42;14;437;404;346;128;1345;942;1;6;249;220;679;127;6723
"Semana 49";53;673;334;70;53;2;74;23;27;85;100;63;283;40;21;422;461;384;104;1611;1244;9;5;364;301;851;149;7806
"Semana 50";71;590;377;80;39;2;99;23;27;71;94;75;270;44;20;357;579;525;140;1705;1494;13;6;354;435;952;161;8603
"Semana 51";38;442;286;89;44;4;67;8;16;59;105;65;231;26;13;306;590;512;166;1725;1703;11;6;356;328;790;162;8148
"Semana 52";13;301;179;21;41;5;133;15;19;43;120;53;104;31;12;260;803;552;175;1859;1204;8;3;337;226;997;120;7634
"Semana 53";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;1;-;-;-;-;-;1;1;7
"Total";983;10099;3873;1591;5380;198;13797;5638;8053;16297;32077;18842;37975;20993;6045;68115;478467;64853;32043;443804;45032;2154;1621;65201;11014;120464;39514;1554123
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
