DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2015
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"Semana 01";48;575;73;16;71;92;81;68;54;352;288;60;439;149;68;180;655;236;441;4951;198;11;-;189;152;2242;62;11751
"Semana 02";36;622;70;30;72;74;69;131;36;376;354;46;544;190;68;160;1053;250;550;7397;270;16;1;300;151;2670;61;15597
"Semana 03";33;612;128;26;84;102;78;184;53;456;437;71;614;222;74;273;1327;203;848;13309;452;34;11;411;222;3808;74;24146
"Semana 04";32;432;76;19;100;114;93;120;58;533;407;93;672;274;68;363;1521;179;758;18607;571;82;3;482;206;4293;121;30277
"Semana 05";60;448;141;16;135;171;113;101;86;656;491;111;836;335;71;492;2039;201;828;24737;758;127;3;547;256;4809;157;38725
"Semana 06";38;339;86;13;122;88;164;129;89;571;547;122;796;247;95;517;1948;126;782;26531;740;167;9;601;222;4384;142;39615
"Semana 07";52;300;116;6;183;162;175;171;97;631;681;162;1107;260;111;703;2343;158;915;32185;855;161;11;801;283;4865;178;47672
"Semana 08";49;276;95;13;212;140;199;268;156;766;869;267;1546;229;134;1156;3059;162;1195;40380;1216;194;15;855;316;5680;177;59624
"Semana 09";64;235;136;10;257;270;290;390;252;1176;1128;369;2605;303;168;1446;4454;206;1865;52668;1863;232;28;883;375;6972;242;78887
"Semana 10";84;189;150;22;334;185;301;508;298;1493;1320;526;3321;361;192;1801;5746;293;2251;60314;2494;293;93;992;469;7346;256;91632
"Semana 11";59;201;146;17;307;178;347;571;461;1419;1401;605;4126;447;279;2499;6977;326;2797;63740;3095;364;135;1270;522;7875;283;100447
"Semana 12";47;162;117;19;284;106;385;468;604;1567;1589;665;4379;425;221;3122;7405;370;2461;54867;3465;374;155;1420;457;6869;315;92318
"Semana 13";59;96;93;16;203;128;298;504;511;1621;1370;676;4680;414;185;2681;9419;352;2553;47771;3640;334;179;1322;573;7002;342;87022
"Semana 14";77;82;119;37;268;148;334;454;554;2269;1981;910;5279;529;282;2624;13199;451;3448;54067;4323;393;250;1624;621;8228;531;103082
"Semana 15";49;61;119;18;259;85;330;428;627;2542;1595;937;5536;713;247;2452;13699;574;3616;47858;3530;344;171;1353;737;5693;647;94220
"Semana 16";67;64;102;22;229;74;279;361;497;3158;1345;1008;5582;685;182;2108;15596;705;3425;44155;3084;287;130;1371;755;7177;719;93167
