DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2018
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"Semana 01";19;105;51;-;51;6;30;47;41;50;77;61;124;33;3;95;335;83;190;225;33;4;4;93;314;1201;45;3320
"Semana 02";32;111;47;-;52;13;37;71;37;49;89;58;115;54;3;115;397;99;230;287;40;2;4;103;310;1621;50;4026
"Semana 03";22;117;73;-;69;23;53;44;64;68;96;56;101;34;1;176;503;104;353;315;35;5;5;132;270;1996;62;4777
"Semana 04";14;111;67;1;55;18;50;42;61;71;81;43;95;30;2;149;552;97;303;300;34;7;5;117;360;2245;43;4953
"Semana 05";29;99;61;-;69;22;48;28;46;112;109;98;127;22;2;139;505;90;415;328;64;3;8;91;421;2729;49;5714
"Semana 06";16;107;50;-;103;21;41;47;37;110;148;94;115;51;2;116;505;109;350;281;48;3;7;74;386;2314;60;5195
"Semana 07";24;123;75;-;115;23;33;65;58;110;189;115;156;31;1;162;604;137;383;330;31;4;4;77;302;2592;56;5800
"Semana 08";10;85;73;-;136;16;37;43;44;95;235;106;209;34;6;192;581;112;466;359;36;9;5;92;260;3142;42;6425
"Semana 09";12;93;92;-;154;27;52;63;60;149;308;133;224;28;3;270;734;189;494;394;26;6;3;77;338;3588;52;7569
"Semana 10";7;92;66;1;202;28;66;43;60;131;396;130;264;33;-;274;909;220;607;449;27;4;5;85;280;4044;52;8475
"Semana 11";13;90;72;1;211;32;58;57;76;162;543;160;288;37;7;250;1003;247;700;499;25;7;6;73;295;3874;58;8844
"Semana 12";17;86;75;-;147;33;75;62;50;147;521;187;337;33;6;209;1134;283;699;464;30;-;3;91;281;3825;50;8845
"Semana 13";13;81;82;-;114;25;67;49;42;172;547;187;328;16;4;217;1231;229;680;455;43;2;3;71;162;3764;57;8641
"Semana 14";18;83;88;-;206;44;110;102;33;223;802;375;467;43;2;348;1603;338;892;587;57;5;2;72;238;4264;69;11071
"Semana 15";11;70;76;1;162;33;109;81;43;262;1006;345;478;44;9;466;2120;379;835;575;73;7;6;77;239;4212;80;11799
"Semana 16";14;81;65;-;130;36;92;135;56;207;1153;558;510;50;8;506;1874;320;609;608;57;8;1;84;179;4102;67;11510
"Semana 17";12;57;55;-;99;26;96;107;68;127;1166;600;428;44;4;476;1402;287;502;495;59;13;5;62;147;2994;56;9387
"Semana 18";27;77;53;1;134;20;95;130;77;113;1188;643;357;52;11;485;1348;291;489;603;56;8;3;92;187;4011;58;10609
"Semana 19";10;78;52;-;123;22;107;111;76;94;1070;687;367;60;10;445;1206;359;481;593;57;5;2;83;176;3936;99;10309
"Semana 20";9;50;54;-;121;13;84;121;64;100;984;669;320;92;13;366;1038;287;455;489;40;9;-;62;134;3328;79;8981
"Semana 21";10;92;40;1;74;8;45;111;47;83;1009;594;293;78;8;273;681;320;306;396;29;5;1;43;105;2341;41;7034
"Semana 22";12;60;27;2;51;11;53;70;91;75;866;493;281;65;5;267;459;223;274;293;9;2;3;31;101;1827;52;5703
"Semana 23";9;48;48;-;66;13;36;40;60;83;960;455;277;78;10;237;444;275;229;291;13;3;1;48;92;1704;38;5558
"Semana 24";5;46;53;2;66;11;27;36;51;91;1006;456;282;90;4;227;424;236;245;260;16;3;2;19;86;1529;48;5321
"Semana 25";3;43;47;1;38;6;23;23;47;93;843;379;212;53;4;149;291;258;211;241;12;1;-;37;72;1329;46;4462
"Semana 26";6;32;27;4;32;4;21;19;34;102;686;272;222;44;1;132;255;275;224;210;30;3;-;54;59;848;41;3637
"Semana 27";6;39;35;2;22;13;21;14;37;97;723;280;192;56;4;148;247;247;264;194;17;-;1;34;71;801;26;3591
"Semana 28";5;47;44;1;34;8;17;15;28;62;651;254;207;31;6;96;196;238;203;162;13;1;1;25;58;633;33;3069
"Semana 29";9;53;45;5;24;8;8;24;26;60;719;265;242;59;9;113;146;194;193;161;8;1;-;19;43;560;25;3019
"Semana 30";5;52;45;1;35;4;8;11;33;61;540;219;202;51;1;117;127;179;160;163;8;2;2;23;39;450;24;2562
"Semana 31";7;49;39;8;40;14;9;22;33;55;515;209;175;51;1;104;140;169;116;165;9;3;2;15;40;531;23;2544
"Semana 32";7;42;30;7;58;15;20;33;26;77;531;195;189;36;5;122;104;164;140;116;9;-;-;14;37;448;14;2439
"Semana 33";3;50;31;3;55;12;14;18;30;52;454;162;188;54;8;114;98;166;101;102;8;-;1;7;41;465;17;2254
"Semana 34";4;46;40;6;65;14;22;15;28;62;402;130;205;49;7;112;134;157;103;122;9;1;-;20;43;482;20;2298
"Semana 35";7;51;40;8;42;12;6;11;22;50;369;119;144;40;1;78;109;113;79;98;10;1;-;18;36;438;18;1920
"Semana 36";5;44;23;1;28;7;14;17;19;54;296;84;140;19;4;78;102;96;64;95;7;2;2;14;32;408;20;1675
"Semana 37";5;124;36;1;30;6;11;24;20;39;293;71;131;38;3;86;104;115;71;109;4;1;2;9;50;421;20;1824
"Semana 38";4;161;34;1;28;8;16;21;19;46;209;65;122;35;3;78;130;129;84;116;12;3;-;13;23;471;25;1856
"Semana 39";7;138;20;6;20;7;17;7;13;35;191;74;117;36;3;86;160;117;59;141;9;1;-;30;26;514;27;1861
"Semana 40";2;167;27;2;34;7;16;12;13;34;202;74;174;28;3;92;166;133;92;141;20;2;3;27;23;643;29;2166
"Semana 41";8;228;20;10;19;10;14;19;7;43;178;84;144;39;9;99;167;144;73;147;15;3;1;23;30;507;32;2073
"Semana 42";17;298;29;6;29;19;23;25;18;30;169;72;167;34;3;107;195;119;97;177;22;-;2;26;41;682;29;2436
"Semana 43";8;328;25;4;13;22;18;13;12;28;141;56;166;31;4;118;187;110;85;216;34;2;4;24;25;710;36;2420
"Semana 44";5;411;22;1;25;10;40;12;13;21;137;64;136;28;4;126;218;111;91;254;21;4;-;49;53;682;50;2588
"Semana 45";7;489;25;3;31;3;62;28;8;26;148;71;185;36;6;130;276;125;97;334;17;5;2;115;84;739;39;3091
"Semana 46";10;415;20;3;36;4;58;6;10;17;146;83;151;36;4;140;285;113;104;367;13;3;2;155;58;802;40;3081
"Semana 47";7;420;24;4;57;8;92;13;11;22;117;81;154;33;6;147;400;157;110;514;20;2;1;300;74;1079;66;3919
"Semana 48";3;435;13;2;62;6;135;10;10;15;138;82;172;36;3;137;468;229;144;567;25;4;5;461;91;1092;69;4414
"Semana 49";4;335;23;4;48;5;166;15;13;28;117;86;174;26;3;131;621;240;181;727;43;4;3;651;129;1279;70;5126
"Semana 50";4;259;24;3;84;5;176;11;22;21;146;60;173;41;2;168;856;307;185;1035;38;5;3;710;139;1407;86;5970
"Semana 51";8;305;23;3;36;7;201;11;27;26;109;68;112;34;3;146;818;304;176;990;22;4;1;485;101;1047;109;5176
"Semana 52";8;180;19;1;40;7;138;13;21;35;86;45;92;26;3;119;582;243;156;788;31;3;2;410;100;893;76;4117
"Semana 53";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;4
"Total";539;7283;2325;111;3775;775;2867;2167;1942;4175;23807;11007;11231;2212;237;9733;29175;10267;14850;18328;1424;185;128;5617;7282;91545;2473;265460
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
