DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2014
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;1;5;-;-;-;1;-;-;3;19;1;-;1;-;95;3;6;-;-;-;-;3;-;-;138
"Semana 01";41;38;178;8;72;9;138;15;31;145;76;67;62;99;10;177;550;474;313;267;219;2;3;65;163;1283;128;4633
"Semana 02";45;27;281;26;109;4;133;29;55;213;108;91;68;122;10;149;808;585;371;433;297;2;6;80;220;1702;163;6137
"Semana 03";39;36;237;21;124;6;131;26;65;269;115;72;52;159;3;176;984;717;364;626;312;4;2;98;231;1875;216;6960
"Semana 04";42;42;265;13;164;2;146;19;59;404;137;84;98;164;14;229;1265;641;326;835;333;2;2;122;274;2441;227;8350
"Semana 05";53;29;254;19;157;9;124;45;69;399;184;88;121;120;11;235;1569;549;261;1283;536;-;8;152;235;2835;238;9583
"Semana 06";71;30;207;15;138;9;125;60;73;418;248;124;120;178;12;266;1950;508;274;1787;616;1;4;145;291;2869;365;10904
"Semana 07";66;46;229;16;165;7;141;55;89;439;270;119;114;178;14;262;2289;532;235;3018;744;2;21;173;308;3054;317;12903
"Semana 08";57;38;276;8;173;6;128;82;78;357;261;105;138;147;8;284;2333;565;229;3674;813;3;8;160;328;3050;306;13615
"Semana 09";57;40;258;8;138;4;107;71;82;247;173;87;123;172;15;214;2067;449;166;3732;822;-;2;106;266;2524;315;12245
"Semana 10";61;38;213;14;165;12;122;64;95;339;196;95;150;154;19;237;2139;517;181;4653;858;2;12;77;241;2491;340;13485
"Semana 11";59;46;301;13;150;11;130;69;82;379;238;141;163;193;19;368;2277;524;198;6137;1019;-;8;108;281;2894;399;16207
"Semana 12";54;70;246;14;191;17;119;96;115;408;209;115;242;207;31;408;2749;554;186;8729;1215;3;5;114;279;3357;367;20100
"Semana 13";54;60;286;19;157;43;97;94;110;367;307;116;260;252;45;473;3044;508;207;12803;1370;4;7;131;233;3543;419;25009
"Semana 14";64;90;215;21;175;70;82;90;185;539;289;174;315;206;42;573;3109;509;201;15662;1410;5;4;120;259;3538;423;28370
"Semana 15";49;67;235;12;134;61;96;86;184;482;320;150;372;270;43;686;3645;617;182;20112;1656;5;11;98;260;3760;497;34090
"Semana 16";28;79;190;6;115;44;77;87;173;512;286;155;323;221;47;606;3643;519;156;23530;1480;6;5;113;179;3336;577;36493
"Semana 17";30;81;219;20;135;65;94;102;239;607;368;192;376;289;86;766;3906;673;180;22305;1439;8;4;126;232;4138;709;37389
"Semana 18";41;113;155;23;131;91;111;88;378;655;392;202;389;280;139;616;3181;555;199;19648;1348;8;9;106;170;4038;845;33911
"Semana 19";54;102;148;22;144;164;96;87;415;704;503;261;474;340;133;549;2653;563;200;15577;1245;2;4;113;169;3902;974;29598
"Semana 20";39;91;129;15;103;102;102;87;467;828;610;240;484;462;145;521;2282;548;194;14594;1121;3;4;85;166;3652;981;28055
"Semana 21";32;103;115;27;76;92;97;61;534;884;562;246;448;445;126;654;1890;533;138;10236;844;8;1;63;127;3673;860;22875
"Semana 22";34;94;106;35;93;76;87;68;408;863;423;239;461;515;120;545;1629;564;121;7433;490;5;2;42;100;3259;820;18632
"Semana 23";37;99;95;20;66;59;106;60;487;992;346;229;457;519;126;476;1277;594;136;4687;214;1;1;37;109;2752;669;14651
"Semana 24";28;105;67;36;55;38;89;44;399;776;287;169;375;512;76;315;990;442;131;3449;229;3;1;40;92;1992;467;11207
"Semana 25";30;109;76;34;56;45;53;49;338;765;276;168;297;468;68;245;616;395;122;2870;164;-;-;31;96;1504;380;9255
"Semana 26";22;129;73;26;53;21;63;64;308;775;321;140;250;409;62;235;514;407;97;2117;162;2;2;36;72;1237;277;7874
"Semana 27";22;91;67;20;41;14;36;50;253;816;319;136;248;508;69;222;368;320;95;1465;133;1;-;42;65;1033;252;6686
"Semana 28";14;119;63;27;41;25;31;54;223;763;292;133;247;496;63;219;326;322;91;1101;82;3;1;27;64;869;236;5932
"Semana 29";21;110;46;47;35;18;24;46;257;682;201;123;221;441;44;171;226;304;93;818;87;2;1;18;49;794;147;5026
"Semana 30";15;167;48;20;49;20;18;45;196;724;210;126;173;405;48;175;185;318;76;744;69;2;-;25;61;661;119;4699
"Semana 31";15;221;42;38;36;23;32;49;117;544;199;100;121;355;44;196;175;262;87;534;56;1;1;29;55;658;108;4098
"Semana 32";18;247;59;23;37;24;28;52;112;516;179;75;135;410;22;176;136;223;80;399;57;1;-;31;40;563;59;3702
"Semana 33";16;295;53;50;34;12;28;48;99;458;185;78;123;343;31;149;134;197;97;359;55;1;-;20;61;696;52;3674
"Semana 34";13;527;51;31;32;8;29;44;116;411;142;76;111;332;33;167;129;202;90;325;66;-;1;16;51;604;25;3632
"Semana 35";13;923;43;12;55;4;24;34;68;338;121;58;82;298;25;150;111;204;96;340;58;1;-;15;45;454;16;3588
"Semana 36";18;1307;47;36;52;14;20;33;81;292;133;68;116;264;36;147;139;178;108;341;69;4;-;17;55;397;17;3989
"Semana 37";5;1760;52;28;39;15;16;35;56;273;127;54;81;228;28;132;161;204;87;339;46;1;1;24;92;511;19;4414
"Semana 38";18;1732;48;35;41;49;17;38;66;276;90;56;85;219;21;111;149;173;102;370;37;-;-;17;84;500;12;4346
"Semana 39";13;1792;39;29;60;45;25;20;57;245;120;52;102;204;24;169;144;212;97;332;51;4;-;30;51;484;13;4414
"Semana 40";25;2068;47;20;63;79;36;14;39;239;124;66;90;196;19;151;152;157;114;354;72;4;-;15;69;525;9;4747
"Semana 41";18;1803;23;29;110;90;33;12;39;197;134;60;98;158;36;145;147;128;89;382;73;5;1;35;78;623;11;4557
"Semana 42";24;1917;23;13;64;105;27;21;34;185;126;64;110;178;23;140;145;129;85;405;60;7;-;41;59;575;8;4568
"Semana 43";27;1711;35;18;40;115;39;14;39;175;120;58;129;179;22;130;162;95;96;441;92;-;-;48;75;610;8;4478
"Semana 44";51;1381;54;16;55;118;30;20;36;129;108;41;117;125;14;106;164;131;89;498;67;5;-;43;59;642;16;4115
"Semana 45";65;1290;61;15;74;95;38;23;45;173;183;67;159;131;20;117;217;155;75;586;70;-;-;36;64;619;10;4388
"Semana 46";108;1350;55;20;47;80;32;25;43;190;142;41;156;131;23;109;187;168;83;592;55;4;-;34;67;678;26;4446
"Semana 47";66;1351;45;18;50;48;40;23;48;224;128;30;165;130;23;112;243;128;76;743;83;4;1;44;86;975;16;4900
"Semana 48";54;1289;51;10;49;35;51;26;38;207;119;35;150;120;62;92;193;154;72;707;86;2;1;32;100;755;14;4504
"Semana 49";53;1049;51;28;69;32;52;48;27;234;142;58;176;89;35;128;272;137;95;941;64;-;-;46;110;901;28;4865
"Semana 50";34;915;70;14;54;32;56;62;34;283;140;41;209;91;26;102;214;139;117;1083;83;1;2;62;89;986;25;4964
"Semana 51";44;667;49;19;37;6;63;59;26;272;143;34;182;101;23;92;215;145;153;1114;90;1;1;43;96;1083;32;4790
"Semana 52";46;528;64;27;54;11;84;51;30;232;158;46;143;169;22;104;304;268;177;1310;104;2;1;68;133;1164;54;5354
"Semana 53";18;245;19;5;9;8;45;27;7;94;61;13;92;29;12;25;133;58;53;670;43;1;3;60;30;382;12;2154
"Total";2021;28657;6359;1140;4571;2192;3748;2671;7705;22938;11651;5661;10572;13412;2272;14003;58490;19248;7944;227496;22864;138;151;3459;7272;93441;13623;593699
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
