 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2014
"Unidade da Federação";"População_residente"
"11 Rondônia";1677766
"12 Acre";818273
"13 Amazonas";3819636
"14 Roraima";501970
"15 Pará";8149418
"16 Amapá";762156
"17 Tocantins";1485318
"21 Maranhão";6875302
"22 Piauí";3229320
"23 Ceará";8846267
"24 Rio Grande do Norte";3363084
"25 Paraíba";3910059
"26 Pernambuco";9252020
"27 Alagoas";3263946
"28 Sergipe";2195015
"29 Bahia";14565807
"31 Minas Gerais";20508631
"32 Espírito Santo";3784361
"33 Rio de Janeiro";16726184
"35 São Paulo";43937755
"41 Paraná";10997989
"42 Santa Catarina";6710154
"43 Rio Grande do Sul";11119817
"50 Mato Grosso do Sul";2621214
"51 Mato Grosso";3269448
"52 Goiás";6520857
"53 Distrito Federal";2805774
"Total";201717541
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

