 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2016
"Unidade da Federação";"População_residente"
"11 Rondônia";1717911
"12 Acre";844137
"13 Amazonas";3952171
"14 Roraima";525967
"15 Pará";8334346
"16 Amapá";796419
"17 Tocantins";1520448
"21 Maranhão";6955099
"22 Piauí";3246999
"23 Ceará";8962063
"24 Rio Grande do Norte";3422843
"25 Paraíba";3953693
"26 Pernambuco";9376936
"27 Alagoas";3294061
"28 Sergipe";2237132
"29 Bahia";14689684
"31 Minas Gerais";20780264
"32 Espírito Santo";3879376
"33 Rio de Janeiro";16947738
"35 São Paulo";44760305
"41 Paraná";11176203
"42 Santa Catarina";6894058
"43 Rio Grande do Sul";11229947
"50 Mato Grosso do Sul";2685454
"51 Mato Grosso";3356979
"52 Goiás";6726130
"53 Distrito Federal";2890224
"Total";205156587
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

