 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2015
"Unidade da Federação";"População_residente"
"11 Rondônia";1698263
"12 Acre";831665
"13 Amazonas";3887740
"14 Roraima";513328
"15 Pará";8244575
"16 Amapá";779416
"17 Tocantins";1503482
"21 Maranhão";6916244
"22 Piauí";3238459
"23 Ceará";8904499
"24 Rio Grande do Norte";3393814
"25 Paraíba";3932537
"26 Pernambuco";9317317
"27 Alagoas";3279649
"28 Sergipe";2216657
"29 Bahia";14629018
"31 Minas Gerais";20648978
"32 Espírito Santo";3832826
"33 Rio de Janeiro";16841138
"35 São Paulo";44356304
"41 Paraná";11089062
"42 Santa Catarina";6802306
"43 Rio Grande do Sul";11175777
"50 Mato Grosso do Sul";2653928
"51 Mato Grosso";3314540
"52 Goiás";6625528
"53 Distrito Federal";2848633
"Total";203475683
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

