 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2018
"Unidade da Federação";"População_residente"
"11 Rondônia";1757589
"12 Acre";869265
"13 Amazonas";4080611
"14 Roraima";576568
"15 Pará";8513497
"16 Amapá";829494
"17 Tocantins";1555229
"21 Maranhão";7035055
"22 Piauí";3264531
"23 Ceará";9075649
"24 Rio Grande do Norte";3479010
"25 Paraíba";3996496
"26 Pernambuco";9496294
"27 Alagoas";3322820
"28 Sergipe";2278308
"29 Bahia";14812617
"31 Minas Gerais";21040662
"32 Espírito Santo";3972388
"33 Rio de Janeiro";17159960
"35 São Paulo";45538936
"41 Paraná";11348937
"42 Santa Catarina";7075494
"43 Rio Grande do Sul";11329605
"50 Mato Grosso do Sul";2748023
"51 Mato Grosso";3441998
"52 Goiás";6921161
"53 Distrito Federal";2974703
"Total";208494900
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

